Date,Day of Week,Sales
2012-03-16,Friday,435.65
2011-12-31,Saturday,239.35
2012-03-13,Tuesday,137.25
2012-02-02,Thursday,531.35
2011-10-25,Tuesday,428.6
2011-01-26,Wednesday,509.25
2011-10-26,Wednesday,620.1
2011-01-25,Tuesday,348.0
2011-10-23,Sunday,1043.15
2011-01-28,Friday,776.1
2011-10-24,Monday,270.0
2011-10-29,Saturday,1057.7
2011-10-30,Sunday,875.05
2011-01-27,Thursday,458.85
2011-10-27,Thursday,469.35
2011-10-28,Friday,758.65
2012-02-08,Wednesday,404.25
2011-01-30,Sunday,396.35
2007-10-08,Monday,495.25
2012-02-07,Tuesday,273.25
2007-10-09,Tuesday,210.0
2011-10-31,Monday,233.45
2011-01-29,Saturday,628.8
2007-10-06,Saturday,1118.75
2011-11-01,Tuesday,302.2
2007-10-07,Sunday,941.75
2011-02-01,Tuesday,513.6
2012-02-04,Saturday,992.15
2007-10-04,Thursday,351.5
2011-01-31,Monday,306.75
2011-12-12,Monday,230.2
2012-02-06,Monday,195.0
2012-02-05,Sunday,479.85
2011-12-30,Friday,401.15
2007-10-05,Friday,803.75
2011-02-03,Thursday,585.55
2011-12-11,Sunday,256.95
2007-10-02,Tuesday,547.5
2011-02-02,Wednesday,451.1
2012-02-01,Wednesday,428.9
2007-10-03,Wednesday,580.25
2011-07-16,Saturday,1191.8
2012-03-17,Saturday,636.35
2011-07-15,Friday,888.35
2007-10-10,Wednesday,398.75
2011-07-22,Friday,1083.55
2007-10-11,Thursday,376.5
2012-01-12,Thursday,457.65
2007-12-21,Friday,444.6
2011-07-21,Thursday,840.5
2012-01-13,Friday,639.0
2011-07-20,Wednesday,1210.35
2007-12-20,Thursday,453.2
2011-07-19,Tuesday,1065.55
2011-05-13,Friday,773.15
2011-05-14,Saturday,823.7
2011-05-11,Wednesday,595.35
2011-05-12,Thursday,628.05
2011-05-09,Monday,648.2
2011-12-06,Tuesday,178.5
2011-05-10,Tuesday,659.9
2011-05-07,Saturday,1080.05
2011-05-08,Sunday,825.7
2007-12-17,Monday,331.75
2011-12-05,Monday,347.15
2011-05-05,Thursday,782.6
2011-05-06,Friday,885.0
2010-11-23,Tuesday,495.05
2007-12-16,Sunday,472.5
2011-10-14,Friday,1165.65
2010-11-22,Monday,289.1
2010-11-19,Friday,310.0
2010-11-18,Thursday,409.15
2007-12-19,Wednesday,308.25
2010-11-21,Sunday,419.35
